lr,batch_size,weight_decay,recon_loss_type,chamfer_weight,grad_clip,cls_weight,initialization_method,model_architecture,best_val_acc
0.0001,64,1e-06,mse,1.0,0.5,2.0,xavier_uniform,BPSVAEClassifier_V3_Wider,96.39999999999999
0.0001,64,1e-06,mse,1.0,0.5,2.0,default,BPSVAEClassifier_V2_Deeper,96.39999999999999
5e-05,32,1e-05,mse,1.0,0.5,1.0,xavier_uniform,BPSVAEClassifier_V2_Deeper,96.39999999999999
5e-05,32,1e-05,mse,0.5,0.5,2.0,xavier_uniform,BPSVAEClassifier,96.39999999999999
0.0001,64,1e-06,mse,1.0,0.5,1.0,xavier_normal,BPSVAEClassifier_V2_Deeper,96.39999999999999
0.0001,32,1e-05,mse,0.5,0.5,2.0,default,BPSVAEClassifier_V2_Deeper,96.39999999999999
0.0001,32,1e-06,mse,0.5,0.5,2.0,default,BPSVAEClassifier_V2_Deeper,96.39999999999999
5e-05,32,1e-06,mse,1.0,0.5,2.0,xavier_normal,BPSVAEClassifier_V3_Wider,96.39999999999999
0.0001,32,1e-06,mse,1.0,0.5,2.0,default,BPSVAEClassifier_V2_Deeper,96.39999999999999
5e-05,64,1e-05,mse,1.0,0.5,1.0,default,BPSVAEClassifier_V2_Deeper,96.39999999999999
0.0001,32,1e-06,mse,1.0,0.5,2.0,xavier_uniform,BPSVAEClassifier_V2_Deeper,96.39999999999999
0.0001,32,1e-06,mse,1.0,0.5,1.0,default,BPSVAEClassifier_V2_Deeper,96.39999999999999
5e-05,64,1e-05,mse,1.0,0.5,1.0,xavier_normal,BPSVAEClassifier_V3_Wider,96.39999999999999
5e-05,32,1e-06,mse,1.0,0.5,2.0,xavier_uniform,BPSVAEClassifier,96.39999999999999
0.0001,64,1e-05,mse,1.0,0.5,1.0,xavier_uniform,BPSVAEClassifier_V2_Deeper,96.39999999999999
0.0001,64,1e-05,mse,1.0,0.5,2.0,xavier_uniform,BPSVAEClassifier,96.39999999999999
0.0001,64,1e-05,mse,1.0,0.5,2.0,xavier_normal,BPSVAEClassifier,96.39999999999999
0.0001,64,1e-05,mse,1.0,0.5,2.0,default,BPSVAEClassifier_V2_Deeper,96.39999999999999
0.0001,64,1e-05,mse,1.0,0.5,2.0,default,BPSVAEClassifier_V3_Wider,96.39999999999999
0.0001,64,1e-05,mse,1.0,0.5,2.0,xavier_uniform,BPSVAEClassifier_V3_Wider,96.39999999999999
0.0001,64,1e-05,mse,1.0,0.5,1.0,xavier_normal,BPSVAEClassifier_V3_Wider,96.39999999999999
5e-05,32,1e-06,mse,1.0,0.5,2.0,xavier_uniform,BPSVAEClassifier_V3_Wider,96.39999999999999
0.0001,64,1e-05,mse,0.5,0.5,2.0,xavier_normal,BPSVAEClassifier_V3_Wider,96.39999999999999
5e-05,32,1e-06,mse,1.0,0.5,1.0,xavier_uniform,BPSVAEClassifier_V2_Deeper,96.39999999999999
0.0001,64,1e-05,mse,0.5,0.5,2.0,xavier_normal,BPSVAEClassifier,96.39999999999999
0.0001,32,1e-06,mse,1.0,0.5,2.0,default,BPSVAEClassifier_V3_Wider,96.39999999999999
0.0001,32,1e-06,mse,0.5,0.5,2.0,xavier_uniform,BPSVAEClassifier_V3_Wider,96.39999999999999
0.0001,32,1e-06,mse,1.0,0.5,1.0,default,BPSVAEClassifier_V3_Wider,96.39999999999999
0.0001,32,1e-06,mse,1.0,0.5,1.0,xavier_normal,BPSVAEClassifier_V3_Wider,96.39999999999999
5e-05,32,1e-05,mse,1.0,0.5,2.0,xavier_normal,BPSVAEClassifier,96.39999999999999
5e-05,32,1e-05,mse,1.0,0.5,2.0,xavier_uniform,BPSVAEClassifier_V3_Wider,96.39999999999999
0.0001,64,1e-06,mse,0.5,0.5,2.0,default,BPSVAEClassifier_V2_Deeper,96.39999999999999
0.0001,64,1e-06,mse,0.5,0.5,2.0,xavier_uniform,BPSVAEClassifier_V3_Wider,96.39999999999999
5e-05,64,1e-05,mse,0.5,0.5,2.0,xavier_uniform,BPSVAEClassifier_V2_Deeper,96.39999999999999
0.0001,64,1e-06,mse,1.0,0.5,2.0,default,BPSVAEClassifier,96.39999999999999
0.0001,64,1e-06,mse,1.0,0.5,1.0,xavier_normal,BPSVAEClassifier_V3_Wider,96.39999999999999
5e-05,32,1e-05,mse,1.0,0.5,2.0,default,BPSVAEClassifier_V3_Wider,96.39999999999999
0.0001,32,1e-06,mse,1.0,0.5,1.0,xavier_normal,BPSVAEClassifier_V2_Deeper,96.39999999999999
0.0001,32,1e-05,mse,0.5,0.5,1.0,xavier_normal,BPSVAEClassifier_V2_Deeper,96.39999999999999
0.0001,32,1e-05,mse,0.5,0.5,1.0,default,BPSVAEClassifier_V2_Deeper,96.39999999999999
0.0001,32,1e-05,mse,0.5,0.5,1.0,default,BPSVAEClassifier,96.39999999999999
5e-05,32,1e-05,mse,0.5,0.5,1.0,xavier_uniform,BPSVAEClassifier_V2_Deeper,96.39999999999999
0.0001,32,1e-05,mse,0.5,0.5,2.0,xavier_uniform,BPSVAEClassifier,96.39999999999999
5e-05,64,1e-06,mse,1.0,0.5,1.0,xavier_normal,BPSVAEClassifier,96.39999999999999
5e-05,32,1e-05,mse,0.5,0.5,2.0,xavier_normal,BPSVAEClassifier,96.39999999999999
0.0001,32,1e-06,mse,1.0,0.5,2.0,xavier_normal,BPSVAEClassifier_V3_Wider,96.39999999999999
5e-05,64,1e-05,mse,1.0,0.5,2.0,default,BPSVAEClassifier_V2_Deeper,96.0
5e-05,64,1e-05,mse,1.0,0.5,2.0,xavier_uniform,BPSVAEClassifier,96.0
5e-05,64,1e-05,mse,1.0,0.5,2.0,xavier_uniform,BPSVAEClassifier_V2_Deeper,96.0
0.0001,32,1e-05,mse,1.0,0.5,2.0,xavier_uniform,BPSVAEClassifier_V3_Wider,96.0
0.0001,32,1e-06,mse,0.5,0.5,1.0,xavier_normal,BPSVAEClassifier_V3_Wider,96.0
0.0001,32,1e-05,mse,1.0,0.5,1.0,xavier_uniform,BPSVAEClassifier_V2_Deeper,96.0
0.0001,32,1e-05,mse,1.0,0.5,1.0,xavier_normal,BPSVAEClassifier,96.0
5e-05,64,1e-06,mse,0.5,0.5,2.0,xavier_uniform,BPSVAEClassifier_V3_Wider,96.0
5e-05,64,1e-05,mse,1.0,0.5,2.0,default,BPSVAEClassifier_V3_Wider,96.0
5e-05,64,1e-05,mse,0.5,0.5,1.0,default,BPSVAEClassifier,96.0
0.0001,32,1e-06,mse,1.0,0.5,2.0,xavier_normal,BPSVAEClassifier,96.0
5e-05,64,1e-05,mse,0.5,0.5,2.0,default,BPSVAEClassifier_V2_Deeper,96.0
5e-05,64,1e-05,mse,0.5,0.5,1.0,xavier_uniform,BPSVAEClassifier_V3_Wider,96.0
0.0001,32,1e-06,mse,1.0,0.5,2.0,xavier_uniform,BPSVAEClassifier_V3_Wider,96.0
0.0001,32,1e-06,mse,0.5,0.5,2.0,xavier_uniform,BPSVAEClassifier_V2_Deeper,96.0
5e-05,32,1e-06,mse,0.5,0.5,1.0,xavier_normal,BPSVAEClassifier_V3_Wider,96.0
5e-05,32,1e-06,mse,0.5,0.5,2.0,default,BPSVAEClassifier_V2_Deeper,96.0
0.0001,64,1e-05,mse,1.0,0.5,2.0,default,BPSVAEClassifier,96.0
5e-05,32,1e-06,mse,1.0,0.5,1.0,xavier_uniform,BPSVAEClassifier,96.0
5e-05,32,1e-06,mse,1.0,0.5,1.0,default,BPSVAEClassifier,96.0
5e-05,32,1e-06,mse,0.5,0.5,2.0,xavier_uniform,BPSVAEClassifier,96.0
0.0001,64,1e-06,mse,0.5,0.5,1.0,default,BPSVAEClassifier_V3_Wider,96.0
0.0001,64,1e-06,mse,0.5,0.5,1.0,default,BPSVAEClassifier,96.0
5e-05,32,1e-06,mse,1.0,0.5,1.0,default,BPSVAEClassifier_V2_Deeper,96.0
5e-05,32,1e-06,mse,1.0,0.5,2.0,default,BPSVAEClassifier_V2_Deeper,96.0
5e-05,32,1e-06,mse,1.0,0.5,2.0,xavier_uniform,BPSVAEClassifier_V2_Deeper,96.0
5e-05,32,1e-06,mse,1.0,0.5,2.0,default,BPSVAEClassifier_V3_Wider,96.0
0.0001,64,1e-05,mse,0.5,0.5,2.0,default,BPSVAEClassifier_V3_Wider,96.0
0.0001,64,1e-05,mse,0.5,0.5,2.0,xavier_uniform,BPSVAEClassifier_V3_Wider,96.0
5e-05,32,1e-06,mse,1.0,0.5,1.0,xavier_normal,BPSVAEClassifier_V2_Deeper,96.0
0.0001,64,1e-05,mse,0.5,0.5,1.0,xavier_normal,BPSVAEClassifier_V3_Wider,96.0
0.0001,64,1e-05,mse,1.0,0.5,1.0,default,BPSVAEClassifier_V3_Wider,96.0
0.0001,32,1e-06,mse,0.5,0.5,2.0,xavier_normal,BPSVAEClassifier,96.0
0.0001,32,1e-06,mse,0.5,0.5,2.0,xavier_normal,BPSVAEClassifier_V3_Wider,96.0
0.0001,32,1e-06,mse,1.0,0.5,1.0,xavier_uniform,BPSVAEClassifier_V3_Wider,96.0
0.0001,32,1e-06,mse,1.0,0.5,2.0,default,BPSVAEClassifier,96.0
5e-05,64,1e-05,mse,1.0,0.5,2.0,default,BPSVAEClassifier,96.0
0.0001,32,1e-06,mse,1.0,0.5,1.0,xavier_normal,BPSVAEClassifier,96.0
5e-05,64,1e-05,mse,1.0,0.5,1.0,default,BPSVAEClassifier,96.0
0.0001,32,1e-06,mse,1.0,0.5,2.0,xavier_normal,BPSVAEClassifier_V2_Deeper,96.0
5e-05,64,1e-05,mse,0.5,0.5,1.0,xavier_normal,BPSVAEClassifier_V3_Wider,96.0
5e-05,64,1e-05,mse,0.5,0.5,2.0,xavier_normal,BPSVAEClassifier_V2_Deeper,96.0
5e-05,32,1e-06,mse,0.5,0.5,1.0,xavier_normal,BPSVAEClassifier,96.0
0.0001,64,1e-06,mse,0.5,0.5,2.0,xavier_normal,BPSVAEClassifier_V2_Deeper,96.0
0.0001,64,1e-06,mse,0.5,0.5,2.0,default,BPSVAEClassifier_V3_Wider,96.0
0.0001,64,1e-06,mse,1.0,0.5,1.0,default,BPSVAEClassifier,96.0
0.0001,64,1e-06,mse,0.5,0.5,2.0,xavier_normal,BPSVAEClassifier_V3_Wider,96.0
0.0001,64,1e-06,mse,1.0,0.5,2.0,xavier_uniform,BPSVAEClassifier,96.0
5e-05,32,1e-05,mse,0.5,0.5,2.0,xavier_normal,BPSVAEClassifier_V3_Wider,96.0
0.0001,64,1e-06,mse,1.0,0.5,2.0,xavier_normal,BPSVAEClassifier_V2_Deeper,96.0
0.0001,64,1e-06,mse,1.0,0.5,2.0,xavier_normal,BPSVAEClassifier,96.0
5e-05,32,1e-05,mse,1.0,0.5,1.0,xavier_normal,BPSVAEClassifier_V2_Deeper,96.0
5e-05,32,1e-05,mse,1.0,0.5,1.0,xavier_uniform,BPSVAEClassifier_V3_Wider,96.0
5e-05,32,1e-05,mse,1.0,0.5,1.0,default,BPSVAEClassifier_V2_Deeper,96.0
5e-05,32,1e-05,mse,1.0,0.5,1.0,default,BPSVAEClassifier,96.0
5e-05,32,1e-05,mse,1.0,0.5,2.0,default,BPSVAEClassifier_V2_Deeper,96.0
5e-05,32,1e-05,mse,1.0,0.5,2.0,default,BPSVAEClassifier,96.0
5e-05,32,1e-06,mse,0.5,0.5,1.0,xavier_uniform,BPSVAEClassifier_V2_Deeper,96.0
5e-05,32,1e-06,mse,0.5,0.5,1.0,xavier_uniform,BPSVAEClassifier,96.0
5e-05,32,1e-05,mse,0.5,0.5,2.0,xavier_uniform,BPSVAEClassifier_V2_Deeper,96.0
0.0001,64,1e-06,mse,1.0,0.5,1.0,xavier_uniform,BPSVAEClassifier_V2_Deeper,96.0
0.0001,64,1e-06,mse,1.0,0.5,1.0,xavier_uniform,BPSVAEClassifier,96.0
0.0001,64,1e-06,mse,1.0,0.5,1.0,xavier_normal,BPSVAEClassifier,96.0
5e-05,64,1e-06,mse,1.0,0.5,2.0,default,BPSVAEClassifier,96.0
5e-05,64,1e-06,mse,1.0,0.5,2.0,xavier_uniform,BPSVAEClassifier_V3_Wider,96.0
5e-05,32,1e-05,mse,0.5,0.5,1.0,default,BPSVAEClassifier_V3_Wider,96.0
5e-05,32,1e-05,mse,0.5,0.5,1.0,xavier_uniform,BPSVAEClassifier,96.0
5e-05,32,1e-05,mse,0.5,0.5,1.0,xavier_normal,BPSVAEClassifier_V3_Wider,96.0
5e-05,32,1e-05,mse,0.5,0.5,1.0,xavier_normal,BPSVAEClassifier_V2_Deeper,96.0
0.0001,64,1e-06,mse,1.0,0.5,1.0,default,BPSVAEClassifier_V3_Wider,96.0
0.0001,32,1e-05,mse,0.5,0.5,2.0,xavier_uniform,BPSVAEClassifier_V3_Wider,96.0
0.0001,32,1e-05,mse,0.5,0.5,2.0,xavier_uniform,BPSVAEClassifier_V2_Deeper,96.0
5e-05,64,1e-06,mse,1.0,0.5,1.0,default,BPSVAEClassifier_V3_Wider,96.0
0.0001,32,1e-05,mse,0.5,0.5,2.0,xavier_normal,BPSVAEClassifier,96.0
0.0001,32,1e-05,mse,0.5,0.5,2.0,default,BPSVAEClassifier,96.0
0.0001,32,1e-05,mse,0.5,0.5,1.0,xavier_uniform,BPSVAEClassifier_V3_Wider,96.0
0.0001,32,1e-05,mse,0.5,0.5,1.0,xavier_normal,BPSVAEClassifier_V3_Wider,96.0
0.0001,32,1e-05,mse,0.5,0.5,1.0,xavier_uniform,BPSVAEClassifier,96.0
0.0001,32,1e-05,mse,0.5,0.5,1.0,xavier_uniform,BPSVAEClassifier_V2_Deeper,96.0
0.0001,32,1e-05,mse,0.5,0.5,1.0,default,BPSVAEClassifier_V3_Wider,95.6
0.0001,32,1e-05,mse,0.5,0.5,1.0,xavier_normal,BPSVAEClassifier,95.6
5e-05,64,1e-06,mse,1.0,0.5,1.0,xavier_normal,BPSVAEClassifier_V2_Deeper,95.6
5e-05,64,1e-06,mse,1.0,0.5,2.0,xavier_normal,BPSVAEClassifier,95.6
5e-05,64,1e-06,mse,1.0,0.5,2.0,xavier_normal,BPSVAEClassifier_V2_Deeper,95.6
5e-05,32,1e-05,mse,0.5,0.5,1.0,default,BPSVAEClassifier_V2_Deeper,95.6
5e-05,32,1e-05,mse,1.0,0.5,2.0,xavier_uniform,BPSVAEClassifier,95.6
5e-05,32,1e-05,mse,1.0,0.5,1.0,xavier_normal,BPSVAEClassifier,95.6
0.0001,64,1e-06,mse,1.0,0.5,2.0,xavier_normal,BPSVAEClassifier_V3_Wider,95.6
5e-05,32,1e-05,mse,0.5,0.5,2.0,xavier_normal,BPSVAEClassifier_V2_Deeper,95.6
0.0001,64,1e-06,mse,1.0,0.5,2.0,xavier_uniform,BPSVAEClassifier_V2_Deeper,95.6
0.0001,64,1e-06,mse,1.0,0.5,2.0,default,BPSVAEClassifier_V3_Wider,95.6
5e-05,32,1e-05,mse,0.5,0.5,2.0,xavier_uniform,BPSVAEClassifier_V3_Wider,95.6
0.0001,64,1e-06,mse,1.0,0.5,1.0,xavier_uniform,BPSVAEClassifier_V3_Wider,95.6
5e-05,32,1e-05,mse,0.5,0.5,2.0,default,BPSVAEClassifier_V2_Deeper,95.6
5e-05,32,1e-05,mse,0.5,0.5,2.0,default,BPSVAEClassifier,95.6
5e-05,32,1e-05,mse,1.0,0.5,1.0,default,BPSVAEClassifier_V3_Wider,95.6
5e-05,32,1e-05,mse,1.0,0.5,1.0,xavier_uniform,BPSVAEClassifier,95.6
0.0001,64,1e-06,mse,0.5,0.5,1.0,default,BPSVAEClassifier_V2_Deeper,95.6
0.0001,64,1e-05,mse,1.0,0.5,1.0,xavier_normal,BPSVAEClassifier_V2_Deeper,95.6
5e-05,32,1e-06,mse,0.5,0.5,2.0,default,BPSVAEClassifier,95.6
5e-05,32,1e-06,mse,0.5,0.5,1.0,xavier_normal,BPSVAEClassifier_V2_Deeper,95.6
5e-05,32,1e-06,mse,0.5,0.5,2.0,default,BPSVAEClassifier_V3_Wider,95.6
0.0001,64,1e-05,mse,1.0,0.5,1.0,xavier_normal,BPSVAEClassifier,95.6
5e-05,32,1e-06,mse,0.5,0.5,1.0,default,BPSVAEClassifier,95.6
5e-05,32,1e-06,mse,0.5,0.5,1.0,default,BPSVAEClassifier_V3_Wider,95.6
5e-05,32,1e-05,mse,1.0,0.5,2.0,xavier_normal,BPSVAEClassifier_V2_Deeper,95.6
5e-05,32,1e-05,mse,1.0,0.5,2.0,xavier_normal,BPSVAEClassifier_V3_Wider,95.6
0.0001,64,1e-06,mse,0.5,0.5,2.0,xavier_uniform,BPSVAEClassifier_V2_Deeper,95.6
0.0001,64,1e-06,mse,0.5,0.5,2.0,xavier_uniform,BPSVAEClassifier,95.6
0.0001,64,1e-06,mse,0.5,0.5,2.0,default,BPSVAEClassifier,95.6
0.0001,64,1e-06,mse,0.5,0.5,1.0,xavier_uniform,BPSVAEClassifier_V3_Wider,95.6
0.0001,64,1e-05,mse,0.5,0.5,2.0,default,BPSVAEClassifier,95.6
5e-05,32,1e-06,mse,0.5,0.5,2.0,xavier_uniform,BPSVAEClassifier_V3_Wider,95.6
5e-05,32,1e-06,mse,1.0,0.5,2.0,default,BPSVAEClassifier,95.6
0.0001,64,1e-06,mse,0.5,0.5,1.0,xavier_uniform,BPSVAEClassifier,95.6
5e-05,32,1e-06,mse,0.5,0.5,2.0,xavier_normal,BPSVAEClassifier,95.6
5e-05,32,1e-06,mse,0.5,0.5,2.0,xavier_normal,BPSVAEClassifier_V2_Deeper,95.6
0.0001,64,1e-05,mse,1.0,0.5,2.0,xavier_normal,BPSVAEClassifier_V3_Wider,95.6
0.0001,64,1e-05,mse,1.0,0.5,2.0,xavier_normal,BPSVAEClassifier_V2_Deeper,95.6
0.0001,32,1e-06,mse,0.5,0.5,2.0,default,BPSVAEClassifier,95.6
5e-05,64,1e-06,mse,0.5,0.5,2.0,xavier_uniform,BPSVAEClassifier_V2_Deeper,95.6
5e-05,64,1e-06,mse,0.5,0.5,1.0,xavier_normal,BPSVAEClassifier_V3_Wider,95.6
5e-05,64,1e-06,mse,0.5,0.5,2.0,default,BPSVAEClassifier_V2_Deeper,95.6
5e-05,64,1e-06,mse,0.5,0.5,1.0,xavier_uniform,BPSVAEClassifier_V3_Wider,95.6
5e-05,64,1e-06,mse,0.5,0.5,1.0,xavier_uniform,BPSVAEClassifier_V2_Deeper,95.6
0.0001,32,1e-05,mse,1.0,0.5,1.0,xavier_normal,BPSVAEClassifier_V2_Deeper,95.6
0.0001,32,1e-06,mse,0.5,0.5,2.0,default,BPSVAEClassifier_V3_Wider,95.6
5e-05,64,1e-06,mse,1.0,0.5,1.0,default,BPSVAEClassifier_V2_Deeper,95.6
5e-05,64,1e-06,mse,0.5,0.5,2.0,xavier_normal,BPSVAEClassifier_V2_Deeper,95.6
0.0001,64,1e-05,mse,0.5,0.5,1.0,xavier_uniform,BPSVAEClassifier_V3_Wider,95.6
0.0001,32,1e-06,mse,0.5,0.5,2.0,xavier_uniform,BPSVAEClassifier,95.6
0.0001,32,1e-06,mse,1.0,0.5,1.0,default,BPSVAEClassifier,95.6
5e-05,64,1e-05,mse,1.0,0.5,1.0,default,BPSVAEClassifier_V3_Wider,95.6
5e-05,64,1e-05,mse,0.5,0.5,2.0,xavier_normal,BPSVAEClassifier,95.6
5e-05,64,1e-05,mse,0.5,0.5,2.0,xavier_uniform,BPSVAEClassifier_V3_Wider,95.6
0.0001,64,1e-05,mse,0.5,0.5,1.0,default,BPSVAEClassifier_V3_Wider,95.6
0.0001,64,1e-05,mse,0.5,0.5,1.0,xavier_uniform,BPSVAEClassifier_V2_Deeper,95.6
0.0001,32,1e-06,mse,1.0,0.5,2.0,xavier_uniform,BPSVAEClassifier,95.6
5e-05,64,1e-05,mse,0.5,0.5,1.0,xavier_uniform,BPSVAEClassifier_V2_Deeper,95.6
5e-05,64,1e-05,mse,0.5,0.5,1.0,default,BPSVAEClassifier_V3_Wider,95.6
5e-05,32,1e-06,mse,1.0,0.5,2.0,xavier_normal,BPSVAEClassifier,95.6
0.0001,64,1e-05,mse,1.0,0.5,1.0,default,BPSVAEClassifier_V2_Deeper,95.6
0.0001,64,1e-05,mse,0.5,0.5,2.0,xavier_normal,BPSVAEClassifier_V2_Deeper,95.6
5e-05,64,1e-06,mse,0.5,0.5,2.0,xavier_normal,BPSVAEClassifier,95.6
5e-05,64,1e-06,mse,0.5,0.5,2.0,default,BPSVAEClassifier_V3_Wider,95.6
0.0001,32,1e-06,mse,0.5,0.5,1.0,xavier_uniform,BPSVAEClassifier_V3_Wider,95.6
0.0001,32,1e-06,mse,0.5,0.5,1.0,xavier_uniform,BPSVAEClassifier,95.6
5e-05,64,1e-05,mse,1.0,0.5,2.0,xavier_uniform,BPSVAEClassifier_V3_Wider,95.6
5e-05,64,1e-05,mse,1.0,0.5,2.0,xavier_normal,BPSVAEClassifier_V2_Deeper,95.6
0.0001,32,1e-06,mse,1.0,0.5,1.0,xavier_uniform,BPSVAEClassifier_V2_Deeper,95.6
0.0001,32,1e-06,mse,1.0,0.5,1.0,xavier_uniform,BPSVAEClassifier,95.6
0.0001,32,1e-06,mse,0.5,0.5,1.0,default,BPSVAEClassifier,95.6
5e-05,64,1e-06,mse,0.5,0.5,1.0,xavier_uniform,BPSVAEClassifier,95.6
0.0001,64,1e-05,mse,1.0,0.5,1.0,xavier_uniform,BPSVAEClassifier,95.19999999999999
5e-05,32,1e-06,mse,1.0,0.5,2.0,xavier_normal,BPSVAEClassifier_V2_Deeper,95.19999999999999
5e-05,64,1e-05,mse,1.0,0.5,2.0,xavier_normal,BPSVAEClassifier,95.19999999999999
5e-05,32,1e-06,mse,0.5,0.5,2.0,xavier_normal,BPSVAEClassifier_V3_Wider,95.19999999999999
5e-05,32,1e-06,mse,1.0,0.5,1.0,xavier_uniform,BPSVAEClassifier_V3_Wider,95.19999999999999
0.0001,64,1e-05,mse,0.5,0.5,2.0,xavier_uniform,BPSVAEClassifier,95.19999999999999
5e-05,32,1e-05,mse,1.0,0.5,2.0,xavier_uniform,BPSVAEClassifier_V2_Deeper,95.19999999999999
5e-05,32,1e-05,mse,0.5,0.5,2.0,default,BPSVAEClassifier_V3_Wider,95.19999999999999
5e-05,64,1e-06,mse,1.0,0.5,1.0,xavier_uniform,BPSVAEClassifier,95.19999999999999
5e-05,64,1e-06,mse,1.0,0.5,1.0,xavier_normal,BPSVAEClassifier_V3_Wider,95.19999999999999
5e-05,64,1e-06,mse,1.0,0.5,2.0,default,BPSVAEClassifier_V3_Wider,95.19999999999999
5e-05,64,1e-06,mse,1.0,0.5,1.0,xavier_uniform,BPSVAEClassifier_V3_Wider,95.19999999999999
5e-05,64,1e-06,mse,1.0,0.5,2.0,default,BPSVAEClassifier_V2_Deeper,95.19999999999999
5e-05,64,1e-06,mse,1.0,0.5,2.0,xavier_uniform,BPSVAEClassifier_V2_Deeper,95.19999999999999
5e-05,32,1e-06,mse,0.5,0.5,1.0,xavier_uniform,BPSVAEClassifier_V3_Wider,95.19999999999999
0.0001,64,1e-06,mse,1.0,0.5,1.0,default,BPSVAEClassifier_V2_Deeper,95.19999999999999
5e-05,64,1e-06,mse,1.0,0.5,2.0,xavier_uniform,BPSVAEClassifier,95.19999999999999
5e-05,32,1e-05,mse,0.5,0.5,1.0,xavier_uniform,BPSVAEClassifier_V3_Wider,95.19999999999999
0.0001,64,1e-06,mse,0.5,0.5,1.0,xavier_uniform,BPSVAEClassifier_V2_Deeper,95.19999999999999
5e-05,32,1e-06,mse,0.5,0.5,2.0,xavier_uniform,BPSVAEClassifier_V2_Deeper,95.19999999999999
0.0001,64,1e-05,mse,1.0,0.5,2.0,xavier_uniform,BPSVAEClassifier_V2_Deeper,95.19999999999999
0.0001,64,1e-05,mse,0.5,0.5,2.0,default,BPSVAEClassifier_V2_Deeper,95.19999999999999
